省份,主导聚类,平均紧迫度
上海,制造聚集型,0.35089496656243147
云南,高危聚集型,0.2733599044870987
内蒙古,高危聚集型,0.2934479897605137
北京,制造聚集型,0.3634236203572338
吉林,制造聚集型,0.21620635722735038
四川,制造聚集型,0.3747177379664515
天津,制造聚集型,0.27346076232928196
宁夏,制造聚集型,0.19673762619059343
安徽,高危聚集型,0.33752076049731433
山东,高危聚集型,0.4754880326903031
山西,高危聚集型,0.260937697670694
广东,高危聚集型,0.487079521131423
广西,制造聚集型,0.25854864238896735
新疆,高危聚集型,0.2247216637614956
江苏,高危聚集型,0.5589383428843315
江西,制造聚集型,0.2599897356570448
河北,制造聚集型,0.32115613947458116
河南,高危聚集型,0.3798363717219648
浙江,高危聚集型,0.44505157215111596
海南,制造聚集型,0.17391736389221332
湖北,高危聚集型,0.3497600375647762
湖南,制造聚集型,0.3259650888864794
甘肃,制造聚集型,0.21319631649645263
福建,高危聚集型,0.32525026164062093
西藏,养老聚集型,0.16722367278634429
贵州,制造聚集型,0.242117105385565
辽宁,制造聚集型,0.2898680907553234
重庆,制造聚集型,0.29332410474984333
陕西,制造聚集型,0.2745268334337405
青海,制造聚集型,0.15672567899237286
黑龙江,制造聚集型,0.22643810584115734
