省份,总体紧迫度_T,耦合协调度_D,象限
上海,0.3454924453985618,0.5826535327730181,高T高D (全面紧迫协调型)
云南,0.284907545031358,0.5255087708539908,低T高D (全面均衡滞后型)
内蒙古,0.3116527929509304,0.5499132419568389,高T高D (全面紧迫协调型)
北京,0.35271664029360994,0.5902258942546615,高T高D (全面紧迫协调型)
吉林,0.21187003812336958,0.43947543303794123,低T低D (全面滞后型)
四川,0.39126619798348466,0.6009300080639112,高T高D (全面紧迫协调型)
天津,0.2730403006915731,0.5185363315753124,低T低D (全面滞后型)
宁夏,0.189950517726842,0.4321279178173568,低T低D (全面滞后型)
安徽,0.3522302523409138,0.5800020161427624,高T高D (全面紧迫协调型)
山东,0.47832425465926526,0.6749516177615954,高T高D (全面紧迫协调型)
山西,0.2862675034853704,0.5192263798767228,高T低D (单极驱动型)
广东,0.48712368651461196,0.6938055798010412,高T高D (全面紧迫协调型)
广西,0.2568079498832553,0.48784697260132165,低T低D (全面滞后型)
新疆,0.24070010900497518,0.4732799429289435,低T低D (全面滞后型)
江苏,0.5583784099764849,0.7352399938159576,高T高D (全面紧迫协调型)
江西,0.26538575965358685,0.5010743440205055,低T低D (全面滞后型)
河北,0.3308629525537683,0.5518646034311561,高T高D (全面紧迫协调型)
河南,0.35914917175809014,0.5785416804274662,高T高D (全面紧迫协调型)
浙江,0.4560389572974266,0.6690456714648053,高T高D (全面紧迫协调型)
海南,0.16796612442102807,0.4004172488908873,低T低D (全面滞后型)
湖北,0.355736276007903,0.5775311171922732,高T高D (全面紧迫协调型)
湖南,0.3240799964636308,0.5510732770533396,高T高D (全面紧迫协调型)
甘肃,0.21658671926169917,0.4535106380659773,低T低D (全面滞后型)
福建,0.33049738900916054,0.56632873624371,高T高D (全面紧迫协调型)
西藏,0.18924032695214957,0.3823867192370783,低T低D (全面滞后型)
贵州,0.23597373190971468,0.477633498134677,低T低D (全面滞后型)
辽宁,0.2841020806642163,0.5132022919402756,低T低D (全面滞后型)
重庆,0.2673172304858226,0.5067004471806225,低T低D (全面滞后型)
陕西,0.28617448238631793,0.5226247590439588,高T高D (全面紧迫协调型)
青海,0.15979309950979817,0.39618288839932975,低T低D (全面滞后型)
黑龙江,0.22431914085628335,0.46131463650411414,低T低D (全面滞后型)
