省份,2016,2017,2018,2019,2020,2021,2022,2023,2024
上海,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业
云南,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业
内蒙古,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业
北京,养老产业,养老产业,养老产业,养老产业,特殊危险环境产业,养老产业,养老产业,养老产业,养老产业
吉林,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业
四川,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,特殊危险环境产业,特殊危险环境产业
天津,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业
宁夏,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业
安徽,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业
山东,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业
山西,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,养老产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业
广东,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业
广西,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业
新疆,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业
江苏,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业
江西,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业
河北,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业
河南,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,养老产业,养老产业
浙江,特殊危险环境产业,特殊危险环境产业,养老产业,养老产业,养老产业,养老产业,养老产业,特殊危险环境产业,特殊危险环境产业
海南,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业
湖北,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业
湖南,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业
甘肃,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业
福建,养老产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业,特殊危险环境产业
西藏,制造业,制造业,制造业,制造业,制造业,制造业,制造业,制造业,制造业
贵州,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业
辽宁,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业
重庆,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业
陕西,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,特殊危险环境产业
青海,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业
黑龙江,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业,养老产业
